Plate	Row	Column	Cell	ID	FAM1	VIC1	ratio.1	Plate.1	Row.1	Column.1	FAM2	VIC2	ratio.2	Ratio	stdev	plt.norm	mean.ratio
1	A	2	IFNG	146	18.99304643	23.74525206	26.94985545	1	A	8	19.09951238	23.36431785	19.22358463	23.08672007	5.463298533	1.031052716	22.76121317
1	A	3	IFNG	223	19.6050164	24.14758293	23.30498259	1	A	9	19.55185094	23.71190477	17.87726132	20.59112194	3.837978505	0.919599326	20.41149828
1	A	4	IFNG	231	20.0843787	24.04226473	15.53969228	1	A	10	20.18440271	24.17348247	15.87934797	15.70952012	0.240172847	0.701587031	15.70860208
1	A	5	IFNG	239	19.4744873	23.88946238	21.33241035	1	A	11	19.29070946	24.08253947	27.70030592	24.5163581	4.502782188	1.094900338	24.30872878
1	A	6	IFNG	247	20.02131496	24.63990928	24.56605547	1	A	12	20.05577707	24.23246641	18.08459443	21.3253249	4.583084979	0.952388823	21.07764575
1	B	2	IFNG	180	17.9223454	22.86538062	30.76110066	1	B	8	18.90012775	23.11599173	18.58238774	24.67174426	8.611650574	1.101839883	23.90846496
1	B	3	IFNG	224	19.21983009	23.39724945	18.09374777	1	B	9	20.01321094	23.95411948	15.35789446	16.72582109	1.934540384	0.746975023	16.66978914
1	B	4	IFNG	232	20.09662083	24.46152049	20.60467296	1	B	10	20.15922252	24.57798526	21.38849023	20.9965816	0.554242496	0.93770715	20.99292369
1	B	5	IFNG	240	20.07547869	24.74015389	25.36338156	1	B	11	20.17105473	24.91327052	26.7638877	26.0636346	0.990307419	1.164001693	26.05422606
1	B	6	IFNG	248	20.32619841	24.35401744	16.3115167	1	B	12	20.35183976	24.72154237	20.67338326	18.49244999	3.084305397	0.825872655	18.36339396
1	C	1	IFNG	63	19.13889974	23.67984186	23.27875699	1	C	7	19.36406902	23.22418959	14.52152007	18.90013852	6.192301595	0.844080021	18.38594398
1	C	2	IFNG	185	18.15278831	22.96384574	28.07195101	1	C	8	19.21321488	23.15585993	15.37639127	21.7241712	8.977116461	0.970201295	20.77607526
1	C	3	IFNG	225	20.2107877	24.50816741	19.66256609	1	C	9	19.71330018	23.4634256	13.4555123	16.55903918	4.389049798	0.739526545	16.26560484
1	C	4	IFNG	233	18.84007333	23.06612172	18.71403031	1	C	10	20.01063571	24.12905609	17.3687302	18.04138028	0.951270865	0.805727885	18.02883644
1	C	5	IFNG	241	19.97199665	23.99931216	16.30582476	1	C	11	20.27377327	24.62836435	20.45796989	18.38189736	2.93600994	0.820935375	18.26428403
1	C	6	IFNG	249	21.0566361	25.28412009	18.73266157	1	C	12	21.18530921	25.66155694	22.25793321	20.49529743	2.492743425	0.915319804	20.41936165
1	D	1	IFNG	84	18.29619988	22.86587703	23.74706236	1	D	7	19.26290184	23.76553762	22.66879469	23.20792855	0.762450416	1.036465886	23.20166549
1	D	2	IFNG	184	19.13386723	23.82396838	25.81434612	1	D	8	19.09585672	23.53631322	21.71253847	23.76344228	2.90041598	1.061275124	23.67477525
1	D	3	IFNG	226	19.76679339	24.31750992	23.43700849	1	D	9	20.10056352	24.45044028	20.39122798	21.9141182	2.153692002	0.978684327	21.8611387
1	D	4	IFNG	234	19.7887978	24.12685319	20.22482606	1	D	10	19.93840077	24.34818599	21.25580832	20.74031718	0.729014555	0.926262384	20.73391007
1	D	5	IFNG	242	20.03828118	24.55882267	22.95189694	1	D	11	19.59320719	24.33014509	26.66615484	24.80902591	2.626376923	1.10797088	24.73941867
1	D	6	IFNG	250	19.99499426	25.06320605	33.54932395	1	D	12	20.24606785	25.83760729	48.2193214	40.88432268	10.37325467	1.825893493	40.2209601
1	E	1	IFNG	64	19.24818368	24.02306414	27.37677232	1	E	7	19.14787345	23.75986765	24.45392607	25.91534924	2.066764467	1.15737927	25.87410994
1	E	2	IFNG	190	19.64382882	23.67671695	16.36893018	1	E	8	19.68066444	23.47913563	13.91405664	15.14149343	1.735857759	0.676218964	15.09166065
1	E	3	IFNG	227	19.76596003	23.36825776	12.14506015	1	E	9	20.46096886	24.60162366	17.63848573	14.89177296	3.88443845	0.66506645	14.63627239
1	E	4	IFNG	235	18.85837282	23.13045818	19.32083259	1	E	10	19.89287806	24.13528498	18.92743386	19.12413322	0.278174895	0.854083622	19.12312162
1	E	5	IFNG	243	19.62872179	24.58931805	31.13782479	1	E	11	19.8450683	24.76924171	30.36154729	30.74968596	0.548910974	1.373280706	30.74723629
1	E	6	IFNG	251	20.82049471	25.11832361	19.66868908	1	E	12	21.11200477	25.90175616	27.66042453	23.66455677	5.651010376	1.056858898	23.32475699
1	F	1	IFNG	114	19.15466356	23.40212582	18.99387369	1	F	7	18.89963	22.79986069	14.93091523	16.96239447	2.872945486	0.757540388	16.84030631
1	F	2	IFNG	191	20.34782824	24.21001629	14.54234528	1	F	8	20.05981203	24.28772765	18.73826695	16.64030611	2.966964667	0.743155925	16.50752396
1	F	3	IFNG	228	19.9556713	23.59764744	12.48372122	1	F	9	20.01538403	24.20751974	18.27925933	15.38149029	4.098064286	0.686937221	15.10606427
1	F	4	IFNG	236	19.15786851	23.62641719	22.13946846	1	F	10	19.25498829	23.81342937	23.56283266	22.85115053	1.006470524	1.020532182	22.84006545
1	F	5	IFNG	244	20.00544913	24.59955741	24.15262818	1	F	11	20.07934226	24.97549664	29.77757513	26.96510158	3.97743824	1.2042612	26.81802947
1	F	6	IFNG	252	20.76071034	25.12883032	20.65071717	1	F	12	20.76101903	25.96518016	36.8645215	28.75761936	11.46489095	1.284315029	27.5912814
1	G	1	IFNG	133	19.48090515	24.4004446	30.26418195	1	G	7	19.42592601	23.67578504	19.02545481	24.64481839	7.946980192	1.100637373	23.99562092
1	G	2	IFNG	192	19.61202684	24.20741486	24.17406223	1	G	8	19.88390117	24.30601829	21.43827796	22.80617012	1.934491646	1.018523358	22.76511071
1	G	3	IFNG	229	18.81931998	23.5157191	25.92728292	1	G	9	19.4420191	24.11896308	25.57999323	25.7536381	0.245570936	1.150157252	25.75305269
1	G	4	IFNG	237	19.19412302	23.80694071	24.4678883	1	G	10	19.86996573	24.54695719	25.58083529	25.02436181	0.786972335	1.117587779	25.01817373
1	G	5	IFNG	245	19.8380489	24.67826313	28.64505554	1	G	11	19.88610095	24.9049249	32.42026421	30.53265989	2.66947563	1.363588323	30.47425591
1	G	6	IFNG	253	19.86363853	24.65015738	27.59851717	1	G	12	19.86828312	24.86134419	31.84645927	29.72248825	3.003748635	1.327406065	29.64650147
1	H	1	IFNG	145	19.93276789	24.67804904	26.8208146	1	H	7	20.34787809	24.50199648	17.80386292	22.31233872	6.37594762	0.996468852	21.85209614
1	H	2	IFNG	222	19.67636451	23.65710128	15.78778388	1	H	8	19.9688428	24.2631913	19.6212969	17.70454039	2.710703052	0.790684619	17.60047714
1	H	3	IFNG	230	20.09650988	24.13381603	16.41913421	1	H	9	19.72060111	24.25918588	23.24075071	19.82994247	4.823611266	0.885605057	19.53440571
1	H	4	IFNG	238	19.07815772	23.30545112	18.73018702	1	H	10	19.70050533	24.06790951	20.6404738	19.68533043	1.35077671	0.879146684	19.66214469
1	H	5	IFNG	246	20.02655813	24.01601013	15.88344554	1	H	11	19.85847399	24.46591783	24.37691815	20.13018183	6.005792107	0.899013744	19.67713017
1	H	6	IFNG	254	19.73728799	24.34868288	24.44376972	1	H	12	19.28067	24.6723632	41.98183138	33.21280055	12.40128233	1.483283382	32.03426635
2	A	2	IFNG	409	20.13491454	24.61694516	22.34733082	2	A	8	20.02059874	24.51607059	22.55650824	22.45191953	0.147910779	0.847397548	22.45167592
2	A	3	IFNG	284	20.05056028	24.49664109	21.79734946	2	A	9	20.00128451	24.49120411	22.46986583	22.13360768	0.475540839	0.835383578	22.13105321
2	A	4	IFNG	276	20.66402874	25.19563714	23.12863791	2	A	10	21.08256741	25.67197889	24.07412527	23.60138155	0.668560582	0.890781424	23.59664656
2	A	5	IFNG	268	20.18826144	25.04410464	28.95705943	2	A	11	20.15433994	25.22083242	33.5093658	31.23321263	3.218966683	1.17882784	31.1501637
2	A	6	IFNG	260	20.13519578	25.1699921	32.78118995	2	A	12	20.21488613	25.22700808	32.27000622	32.52559808	0.361461472	1.227606042	32.52459382
2	B	2	IFNG	410	20.4662325	25.15823374	25.8483671	2	B	8	20.6017365	25.08617462	22.38465414	24.11651062	2.449214922	0.91022382	24.05424612
2	B	3	IFNG	283	20.5522933	25.21401955	25.31159033	2	B	9	20.65546782	25.20807982	23.46782114	24.38970577	1.303741751	0.920534961	24.37227679
2	B	4	IFNG	275	19.9746977	24.46930696	22.54302569	2	B	10	19.9463301	24.63209821	25.73693076	24.13997818	2.258431997	0.911109551	24.08709802
2	B	5	IFNG	267	20.18104304	24.79387667	24.46815864	2	B	11	20.24992422	25.31326042	33.43613547	28.9521471	6.341317163	1.092734117	28.60280867
2	B	6	IFNG	259	20.36576323	25.26105743	29.75982628	2	B	12	20.49630647	25.66599547	35.99411135	32.87696876	4.408305314	1.240867743	32.72886348
2	C	1	IFNG	142	20.3538292	24.46283264	17.25572805	2	C	7	20.11471539	24.3166756	18.40416269	17.82994536	0.81206593	0.672951458	17.82069658
2	C	2	IFNG	407	20.71096442	25.25250332	23.28838839	2	C	8	20.37488961	24.70336003	20.09090179	21.68964511	2.260964485	0.818627203	21.6306432
2	C	3	IFNG	282	21.15568032	25.0524193	14.89482202	2	C	9	20.91828779	24.97559864	16.64839094	15.77160652	1.239960427	0.595264056	15.7472163
2	C	4	IFNG	274	19.61461589	24.31804161	26.05386894	2	C	10	19.66754911	24.70749154	32.89832968	29.47609932	4.839764597	1.112509523	29.27676158
2	C	5	IFNG	266	20.3528943	25.2693519	30.19960134	2	C	11	20.53115469	25.25592202	26.44214538	28.32087335	2.656922581	1.0689081	28.25848987
2	C	6	IFNG	258	19.55698608	24.25550278	25.96536679	2	C	12	20.1909551	25.30798946	34.7041035	30.33473512	6.17922002	1.144916813	30.01840734
2	D	1	IFNG	141	20.39909484	25.22842647	28.42979183	2	D	7	20.22337389	25.0899375	29.17303555	28.80141369	0.52555268	1.087045021	28.79901613
2	D	2	IFNG	400	20.4101356	24.98934165	23.90442917	2	D	8	20.52850083	24.92041961	20.9941981	22.44931365	2.057844145	0.847299195	22.4021053
2	D	3	IFNG	281	21.50657693	25.79374876	19.52393339	2	D	9	21.42512283	25.58003428	17.81365244	18.66879286	1.209351178	0.704611883	18.64919743
2	D	4	IFNG	273	20.05153626	24.91824973	29.17606614	2	D	10	19.95938655	24.69487409	26.63936036	27.90771331	1.793721938	1.053314297	27.87887626
